Date,Price,Open,High,Low,Vol.,detail,Change %
2022:11:16,1771.495,1771.295,1775.09,1753.315,88.282,0.2,0.01%
2022:11:15,1771.295,1755.655,1772.935,1747.31,110.776,15.64,0.89%
2022:11:14,1755.655,1706.625,1757.32,1703.96,104.778,49.03,2.87%
2022:11:11,1706.625,1712.585,1722.345,1702.255,101.162,-5.96,-0.35%
2022:11:10,1712.585,1675.435,1716.97,1664.76,79.69,37.15,2.22%
2022:11:09,1675.435,1680.915,1681.945,1666.94,68.483,-5.48,-0.33%
2022:11:08,1680.915,1629.555,1681.755,1628.735,100.03,51.36,3.15%
2022:11:07,1629.555,1635.305,1641.03,1616.675,84.142,-5.75,-0.35%
2022:11:04,1635.305,1647.945,1669.535,1634.785,94.156,-12.64,-0.77%
2022:11:03,1647.945,1633.69,1657.06,1630.795,82.792,14.255,0.87%
2022:11:02,1633.69,1644.385,1645.74,1631.805,53.632,-10.695,-0.65%
2022:11:01,1644.385,1663.395,1667.11,1638.12,96.069,-19.01,-1.14%
2022:10:31,1663.395,1665.215,1670.845,1654.89,101.127,-1.82,-0.11%
2022:10:28,1665.215,1653,1675.005,1649.82,85.264,12.215,0.74%
2022:10:27,1653,1649.59,1662.445,1638.355,80.026,3.41,0.21%
2022:10:26,1649.59,1657.62,1670.785,1644.005,117.018,-8.03,-0.48%
2022:10:25,1657.62,1628.215,1657.955,1617.28,139.942,29.405,1.81%
2022:10:24,1628.215,1628.98,1645.675,1622.545,90.333,-0.765,-0.05%
2022:10:21,1628.98,1652.075,1654.475,1627.725,91.501,-23.095,-1.40%
2022:10:20,1652.075,1650.76,1660.936,1645.915,109.812,1.315,0.08%
2022:10:19,1650.76,1644.45,1668.53,1644.17,87.442,6.31,0.38%
2022:10:18,1644.45,1666.135,1671.825,1640.27,121.73,-21.685,-1.30%
2022:10:17,1666.135,1673.205,1682.495,1642.465,128.124,-7.07,-0.42%
2022:10:14,1673.205,1666.215,1678.37,1661.47,130.41,6.99,0.42%
2022:10:13,1666.215,1668.25,1684.04,1661.03,127.343,-2.035,-0.12%
2022:10:12,1668.25,1695,1699.915,1665.77,95.519,-26.75,-1.58%
2022:10:11,1695,1712.74,1714.85,1690.695,127.04,-17.74,-1.04%
2022:10:10,1712.74,1716.445,1725.6,1706.955,120.952,-3.705,-0.22%
2022:10:07,1716.445,1726.465,1727.84,1700.59,123.662,-10.02,-0.58%
2022:10:06,1726.465,1699.795,1729.59,1695.24,131.946,26.67,1.57%
2022:10:05,1699.795,1660.95,1701.53,1659.695,138.19,38.845,2.34%
2022:10:04,1660.95,1660.85,1675.43,1659.32,145.095,0.1,0.01%
2022:10:03,1660.85,1659.995,1664.895,1641.575,142.394,0.855,0.05%
2022:09:30,1659.995,1629.49,1662.785,1614.925,174.988,30.505,1.87%
2022:09:29,1629.49,1622.845,1642.51,1622.845,129.013,6.645,0.41%
2022:09:28,1622.845,1643.925,1649.84,1621.205,168.541,-21.08,-1.28%
2022:09:27,1643.925,1671.335,1675.915,1639.745,135.455,-27.41,-1.64%
2022:09:26,1671.335,1673.8,1684.95,1655.715,165.919,-2.465,-0.15%
2022:09:23,1673.8,1664.845,1688.125,1653.87,119.812,8.955,0.54%
2022:09:22,1664.845,1675.7,1679.495,1660.03,71.504,-10.855,-0.65%
2022:09:21,1675.7,1675.505,1680.015,1659.75,70.055,0.195,0.01%
