Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:7:26,1972.24,1982.265,1942.645,1945.15,-27.09,-137.0,189868.0
2023:7:25,1964.745,1978.405,1962.065,1972.24,7.495,38.0,170682.0
2023:7:24,1954.715,1965.72,1952.005,1964.745,10.03,51.0,121634.0
2023:7:21,1961.95,1967.905,1953.475,1954.715,-7.235,-37.0,147897.0
2023:7:20,1969.55,1973.85,1956.905,1961.95,-7.6,-39.0,144222.0
2023:7:19,1977.15,1987.53,1965.39,1969.55,-7.6,-38.0,168774.0
2023:7:18,1978.92,1980.995,1969.81,1977.15,-1.77,-9.0,160240.0
2023:7:17,1954.98,1984.425,1954.65,1978.92,23.94,122.0,180348.0
2023:7:14,1955.435,1959.91,1945.84,1954.98,-0.455,-2.0,141677.0
2023:7:13,1960.64,1963.795,1950.99,1955.435,-5.205,-27.0,172146.0
2023:7:12,1957.54,1963.735,1952.47,1960.64,3.1,16.0,77345.0
2023:7:11,1932.505,1959.75,1932.315,1957.54,25.035,130.0,75985.0
2023:7:10,1925.44,1938.495,1924.42,1932.505,7.065,37.0,71828.0
2023:7:7,1925.565,1928.28,1912.75,1925.44,-0.125,-1.0,70937.0
2023:7:6,1910.975,1934.935,1909.62,1925.565,14.59,76.0,94162.0
2023:7:5,1915.12,1927.665,1902.745,1910.975,-4.145,-22.0,88195.0
2023:7:4,1925.875,1935.05,1914.855,1915.12,-10.755,-56.00000000000001,64897.99999999999
2023:7:3,1921.525,1930.765,1920.005,1925.875,4.35,23.0,37517.0
2023:6:30,1919.525,1931.085,1910.08,1921.525,2.0,10.0,58322.0
2023:6:29,1908.065,1922.78,1900.605,1919.525,11.46,60.0,71833.0
2023:6:28,1907.535,1913.18,1893.07,1908.065,0.53,3.0,80916.0
2023:6:27,1913.68,1917.285,1902.87,1907.535,-6.145,-32.0,61344.0
2023:6:26,1923.15,1930.73,1910.89,1913.68,-9.47,-49.0,63008.0
2023:6:23,1921.265,1933.395,1921.265,1923.15,1.885,10.0,48009.0
2023:6:22,1913.835,1937.305,1910.21,1921.265,7.43,39.0,64345.0
2023:6:21,1932.51,1935.005,1912.465,1913.835,-18.675,-97.0,67665.0
2023:6:20,1936.255,1939.575,1919.245,1932.51,-3.745,-19.0,58919.0
2023:6:19,1950.42,1956.84,1929.82,1936.255,-14.165,-73.0,77044.0
2023:6:16,1957.555,1958.81,1947.84,1950.42,-7.135,-36.0,41354.0
2023:6:15,1958.005,1967.92,1953.32,1957.555,-0.45,-2.0,50018.0
2023:6:14,1941.255,1960.31,1925.04,1958.005,16.75,86.0,86479.0
2023:6:13,1943.6,1960.31,1939.755,1941.255,-2.345,-12.0,74771.0
2023:6:12,1957.605,1971.21,1940.095,1943.6,-14.005,-72.0,78621.0
2023:6:9,1960.745,1967.015,1949.28,1957.605,-3.14,-16.0,68616.0
2023:6:8,1965.47,1973.16,1956.665,1960.745,-4.725,-24.0,50155.0
2023:6:7,1940.01,1970.54,1940.01,1965.47,25.46,131.0,50107.0
2023:6:6,1963.285,1970.22,1939.955,1940.01,-23.275,-119.0,51978.0
2023:6:5,1961.7,1966.385,1954.395,1963.285,1.585,8.0,49756.0
2023:6:2,1948.1,1964.055,1938.15,1961.7,13.6,70.0,57157.0
2023:6:1,1977.54,1983.505,1947.68,1948.1,-29.44,-149.0,62360.0
2023:5:31,1962.615,1983.18,1953.445,1977.54,14.925,76.0,66617.0
