Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:01:31,1923.2,1931.19,1900.87,1928.235,5.035,26,58763
2023:01:30,1927.73,1934.565,1920.745,1923.2,-4.53,-23,44861
2023:01:27,1929.215,1935.05,1916.745,1927.73,-1.485,-8,54335
2023:01:26,1946.325,1949.26,1918.695,1929.215,-17.11,-88,69317
2023:01:25,1937.315,1948.1,1919.945,1946.325,9.01,47,66017
2023:01:24,1931.34,1942.555,1917.22,1937.315,5.975,31,48239
2023:01:23,1926.06,1935.59,1911.435,1931.34,5.28,27,58426
2023:01:20,1932.26,1937.58,1920.72,1926.06,-6.2,-32,60306
2023:01:19,1904.51,1935.21,1901.035,1932.26,27.75,146,59576
2023:01:18,1908.71,1925.945,1896.675,1904.51,-4.2,-22,79921
2023:01:17,1916.01,1919.095,1903.81,1908.71,-7.3,-38,58969
2023:01:16,1920.315,1929.06,1910.915,1916.01,-4.305,-22,42380
2023:01:13,1896.785,1921.91,1892.395,1920.315,23.53,124,66075
2023:01:12,1875.965,1901.705,1870.3,1896.785,20.82,111,86288
2023:01:11,1876.99,1886.695,1867.22,1875.965,-1.025,-5,65959
2023:01:10,1871.705,1880.795,1867.93,1876.99,5.285,28,60283
2023:01:09,1866.11,1881.55,1866.11,1871.705,5.595,30,60521
2023:01:06,1832.7,1869.92,1831.42,1866.11,33.41,182,77133
2023:01:05,1854.65,1858.995,1825.13,1832.7,-21.95,-118,66836
2023:01:04,1839.7,1865.215,1836.24,1854.65,14.95,81,76233
2023:01:03,1823.79,1849.99,1823.79,1839.7,15.91,87,100770
2023:01:02,1814.985,1826.14,1813.4,1823.79,8.805,49,74918
2022:12:30,1804.3,1820.205,1804.18,1814.985,10.685,59,47045
2022:12:29,1813.91,1814.645,1797.1,1804.3,-9.61,-53,53633
2022:12:28,1798.425,1833.445,1798.425,1813.91,15.485,86,54855
2022:12:27,1792.63,1803.24,1791.25,1798.425,5.795,32,53125
2022:12:26,1814.64,1820.46,1784.85,1792.63,-22.01,-121,56279
2022:12:23,1817.89,1823.865,1811.925,1814.64,-3.25,-18,47261
2022:12:22,1787.715,1821.14,1784.695,1817.89,30.175,169,83849
2022:12:21,1793.155,1798.775,1783.905,1787.715,-5.44,-30,42917
2022:12:20,1776.875,1794.3,1774.365,1793.155,16.28,92,55133
2022:12:19,1807.44,1808.7,1773.845,1776.875,-30.565,-169,77722
2022:12:16,1810.77,1814.265,1795.495,1807.44,-3.33,-18,79335
2022:12:15,1781.41,1824.515,1781.025,1810.77,29.36,165,75705
2022:12:14,1797.46,1797.46,1777.685,1781.41,-16.05,-89,40487
2022:12:13,1789.095,1806.16,1788.54,1797.46,8.365,47,59735
2022:12:12,1786.145,1794.885,1781.49,1789.095,2.95,17,48402
2022:12:09,1771.005,1790.585,1768.825,1786.145,15.14,85,57478
2022:12:08,1768.825,1780.92,1767.365,1771.005,2.18,12,48533
2022:12:07,1797.75,1810.01,1765.91,1768.825,-28.925,-161,66549
2022:12:06,1803.04,1804.63,1778.545,1797.75,-5.29,-29,70891
2022:12:05,1768.235,1804.115,1768.235,1803.04,34.805,197,76259
2022:12:02,1749.575,1770.01,1744.95,1768.235,18.66,107,69923
2022:12:01,1741.785,1759.035,1740.24,1749.575,7.79,45,51669
2022:11:30,1753.555,1763.775,1739.675,1741.785,-11.77,-67,57996
2022:11:29,1755.79,1761.155,1746.02,1753.555,-2.235,-13,40047
2022:11:28,1749.6,1758.705,1749.335,1755.79,6.19,35,37717
2022:11:25,1740,1753.465,1727.495,1749.6,9.6,55,60716
2022:11:24,1738.185,1749.795,1737.095,1740,1.815,10,40745
2022:11:23,1750.87,1753.065,1732.595,1738.185,-12.685,-72,51600
2022:11:22,1760.57,1767.735,1747.555,1750.87,-9.7,-55,67706
2022:11:21,1773.71,1774.885,1754.51,1760.57,-13.14,-74,86275
2022:11:18,1778.28,1785.095,1770.385,1773.71,-4.57,-26,94214
2022:11:17,1771.495,1786.545,1767.13,1778.28,6.785,38,127162
2022:11:16,1771.295,1775.09,1753.315,1771.495,0.2,1,88282
2022:11:15,1755.655,1772.935,1747.31,1771.295,15.64,89,110776
2022:11:14,1706.625,1757.32,1703.96,1755.655,49.03,287,104778
2022:11:11,1712.585,1722.345,1702.255,1706.625,-5.96,-35,101162
2022:11:10,1675.435,1716.97,1664.76,1712.585,37.15,222,79690
2022:11:09,1680.915,1681.945,1666.94,1675.435,-5.48,-33,68483
2022:11:08,1629.555,1681.755,1628.735,1680.915,51.36,315,100030
2022:11:07,1635.305,1641.03,1616.675,1629.555,-5.75,-35,84142
2022:11:04,1647.945,1669.535,1634.785,1635.305,-12.64,-77,94156
2022:11:03,1633.69,1657.06,1630.795,1647.945,14.255,87,82792
2022:11:02,1644.385,1645.74,1631.805,1633.69,-10.695,-65,53632
2022:11:01,1663.395,1667.11,1638.12,1644.385,-19.01,-114,96069
2022:10:31,1665.215,1670.845,1654.89,1663.395,-1.82,-11,101127
2022:10:28,1653,1675.005,1649.82,1665.215,12.215,74,85264
2022:10:27,1649.59,1662.445,1638.355,1653,3.41,21,80026
2022:10:26,1657.62,1670.785,1644.005,1649.59,-8.03,-48,117018
2022:10:25,1628.215,1657.955,1617.28,1657.62,29.405,181,139942
2022:10:24,1628.98,1645.675,1622.545,1628.215,-0.765,-5,90333
2022:10:21,1652.075,1654.475,1627.725,1628.98,-23.095,-140,91501
2022:10:20,1650.76,1660.936,1645.915,1652.075,1.315,8,109812
2022:10:19,1644.45,1668.53,1644.17,1650.76,6.31,38,87442
2022:10:18,1666.135,1671.825,1640.27,1644.45,-21.685,-130,121730
2022:10:17,1673.205,1682.495,1642.465,1666.135,-7.07,-42,128124
2022:10:14,1666.215,1678.37,1661.47,1673.205,6.99,42,130410
2022:10:13,1668.25,1684.04,1661.03,1666.215,-2.035,-12,127343
2022:10:12,1695,1699.915,1665.77,1668.25,-26.75,-158,95519
