,Date,Price,Open,High,Low,Vol.,detail,dt_percent
287,2022:08:24,1735.88,1747.5,1749.09,1727.85,89142,-11.62,-66
288,2022:08:23,1747.5,1758.42,1759.355,1745.585,77294,-10.92,-62
289,2022:08:22,1758.42,1762.24,1772.465,1755.49,85226,-3.82,-22
290,2022:08:19,1762.24,1775.825,1782.4,1759.86,92091,-13.585,-76
291,2022:08:18,1775.825,1779.56,1783.195,1771.52,69076,-3.735,-21
292,2022:08:17,1779.56,1802.025,1802.375,1773.055,82034,-22.465,-125
293,2022:08:16,1802.025,1789.505,1802.18,1784.965,78677,12.52,70
294,2022:08:15,1789.505,1792.285,1799.42,1783.59,89468,-2.78,-16
295,2022:08:12,1792.285,1794.4,1807.96,1787.606,98223,-2.115,-12
296,2022:08:11,1794.4,1789.24,1800.47,1783.31,70681,5.16,29
297,2022:08:10,1789.24,1775.8,1790.045,1771.22,75301,13.44,76
298,2022:08:09,1775.8,1790.966,1794.945,1765.05,97224,-15.166,-85
299,2022:08:08,1790.966,1765.37,1794.96,1763.335,78513,25.596,145
300,2022:08:05,1765.37,1760.91,1772.835,1754.35,88720,4.46,25
301,2022:08:04,1760.91,1772.12,1788.12,1760.515,116469,-11.21,-63
302,2022:08:03,1772.12,1766.26,1775.38,1758.405,98885,5.86,33
303,2022:08:02,1766.26,1756.11,1767.99,1752.415,110236,10.15,58
304,2022:08:01,1756.11,1734.625,1757.065,1734.185,130871,21.485,124
305,2022:07:29,1734.625,1717.465,1740.34,1711.56,92012,17.16,100
306,2022:07:28,1717.465,1719.875,1728.225,1713.705,75610,-2.41,-14
307,2022:07:27,1719.875,1727.66,1736.3,1714.8,81598,-7.785,-45
308,2022:07:26,1727.66,1719.16,1739.355,1712.96,95148,8.5,49
309,2022:07:25,1719.16,1696.835,1720.25,1680.935,104791,22.325,132
310,2022:07:22,1696.835,1711.575,1714.535,1692.475,79234,-14.74,-86
311,2022:07:21,1711.575,1709.28,1718.48,1705.445,83423,2.295,13
312,2022:07:20,1709.28,1707.46,1723.99,1706.095,91273,1.82,11
313,2022:07:19,1707.46,1710.03,1716.675,1699.12,114463,-2.57,-15
314,2022:07:18,1710.03,1735.66,1736.605,1697.64,148089,-25.63,-148
315,2022:07:15,1735.66,1726.235,1745.425,1707.16,139818,9.425,55
316,2022:07:14,1726.235,1733.985,1744.336,1723.27,100499,-7.75,-45
317,2022:07:13,1733.985,1742.355,1744.62,1731.325,79685,-8.37,-48
318,2022:07:12,1742.355,1740.335,1752.47,1729.985,103543,2.02,12
319,2022:07:11,1740.335,1739.41,1749.13,1736.58,95705,0.925,5
